Test Set #1
16 to 20: 2
 5 to  2: 3
13 to 18: 2
14 to 10: 1
16 to  6: 4
 2 to  6: 2
 7 to  1: 3
13 to 11: 3
20 to  4: 3
 5 to 10: 6
 1 to 19: 1
 4 to 20: 3
 6 to 17: 3
 2 to 20: 2
10 to 13: 5
14 to  4: 4
15 to  4: 4
 9 to  5: 5
16 to 20: 2
 2 to 11: 2
 8 to  7: 1
18 to 12: 2
 9 to 13: 4
 2 to 11: 2
14 to  6: 3
 5 to 12: 2
 9 to 20: 4
19 to  2: 2
 6 to  1: 1
 9 to 13: 4
16 to 18: 1
 7 to  8: 1
10 to 12: 4
 7 to  6: 4
20 to  4: 3
16 to 17: 3
12 to  2: 2
11 to  1: 1
 2 to  3: 1
 9 to 13: 4
15 to 20: 4
 8 to 16: 3
20 to 14: 4
12 to 16: 3
20 to 15: 4
10 to 14: 1
16 to  3: 3
12 to 11: 2
 6 to  5: 4
 3 to  7: 3
 4 to 18: 2
19 to 18: 3
20 to  2: 2
17 to 14: 4
17 to 12: 3
 2 to 14: 3
16 to  1: 3
16 to  3: 3
 5 to  6: 4
 3 to  9: 4
20 to  9: 4
12 to  2: 2
 4 to  8: 4
10 to 18: 5
19 to  5: 4
10 to  3: 5
14 to 11: 3
18 to 16: 1
 7 to 13: 3
17 to  9: 4
17 to 20: 3
 6 to  5: 4
 8 to 17: 4
 3 to  8: 4
 2 to 19: 2
19 to  5: 4
13 to 10: 5
13 to 10: 5
 2 to  9: 3
15 to  7: 5
 2 to 13: 1
19 to  9: 1
19 to 18: 3
 9 to  8: 6
16 to  1: 3
 2 to  3: 1
16 to 15: 5
19 to 11: 2
12 to  2: 2
 4 to 13: 2

Test Set #2
20 to 17: 2
15 to 11: 4
 2 to  8: 2
10 to 20: 4
 9 to  7: 2
15 to  6: 5
11 to  6: 3
10 to 16: 3
 3 to  9: 4
10 to  3: 5
 6 to  5: 4
 5 to 14: 2
10 to 17: 4
14 to  3: 4
14 to  1: 3
20 to 19: 4
18 to  4: 2
 7 to 17: 3
 8 to 18: 2
14 to  9: 2

Test Set #3
 4 to 20: 2
 5 to 11: 2
 3 to  2: 4
 7 to  2: 1
14 to 11: 3
 4 to 11: 1
18 to  2: 3
19 to  5: 3
12 to  4: 2
11 to  4: 1
 1 to  8: 4
16 to  5: 3
 2 to  4: 2
 1 to  8: 4
20 to 12: 3
12 to 13: 2
18 to  3: 2
14 to 17: 3
 6 to 12: 1
13 to  9: 4
12 to 17: 1
 8 to  2: 3
 9 to 20: 3
19 to  1: 4
20 to  9: 3
 1 to 18: 2
14 to 10: 3
10 to 12: 1
17 to  8: 4
17 to  1: 1
11 to 18: 3
16 to 15: 3
 9 to  7: 3
 5 to  7: 1
 6 to 18: 1
 8 to 10: 2
10 to 17: 2
 2 to 13: 1
12 to  6: 1
 5 to  2: 2
19 to 11: 3
14 to  5: 1
 8 to  9: 4
 4 to 20: 2
 5 to 20: 3
13 to  1: 4
 5 to 15: 2
 3 to  7: 3
 9 to  4: 3
18 to  5: 1
18 to 10: 3
14 to 16: 4
 2 to 17: 4
12 to 19: 2
 1 to 14: 3
15 to 13: 2
13 to  2: 1
 3 to 14: 1
12 to  9: 2
 2 to 16: 4
 3 to 11: 2
 2 to 14: 3
 6 to 14: 2
 5 to 20: 3
10 to 13: 1
 6 to 16: 4
 2 to  4: 2
10 to  9: 3
13 to  2: 1
 9 to  3: 3
 6 to  5: 2
16 to  2: 4
11 to  8: 2
 9 to 17: 1
10 to 16: 3
 3 to  1: 2
17 to 13: 3
11 to  6: 3
 6 to  1: 3

Test Set #4
15 to 11: 3
17 to 12: 3
 2 to  9: 3
 9 to 18: 3
20 to  5: 2
 2 to  3: 2
19 to 17: 3
19 to 12: 4
 8 to 19: 2
 7 to 11: 1
 4 to  5: 1
12 to 17: 3
 9 to  6: 3
15 to  9: 2
10 to  4: 3
14 to  2: 2
13 to  8: 1
19 to 13: 1
16 to 10: 3
 8 to 14: 2
 2 to  6: 2
 4 to 19: 3
10 to  9: 3
 2 to 13: 2
 3 to 20: 3
11 to  6: 4
12 to  5: 1
15 to  8: 2
 5 to  6: 2
 7 to 10: 3
19 to 12: 4
18 to  8: 1
13 to 11: 3
 2 to 18: 2
 1 to 19: 2
 5 to  3: 2
20 to 15: 2
 3 to  8: 3
 4 to 12: 1
 4 to  5: 1
10 to  3: 3
18 to 15: 2
17 to  3: 4
 4 to 18: 2
19 to 10: 3
11 to 15: 3
18 to 10: 2
14 to 11: 4
12 to 10: 3
 5 to  4: 1
 9 to  6: 3
17 to  2: 3
11 to  8: 3
20 to  1: 2
18 to  3: 3
 7 to 13: 2
13 to 12: 3
 8 to  7: 2
 9 to 11: 2

Test Set #5
15 to 20: 5
 5 to 10: 2
 7 to 11: 3
13 to 19: 3
19 to  2: 3
14 to  2: 1
 9 to 20: 4
 6 to 10: 3
 1 to 19: 4
16 to  3: 4
18 to  3: 2
10 to  2: 2
 3 to 18: 2
19 to 15: 3
 5 to  8: 1
 2 to 19: 3
17 to 10: 2
 4 to  1: 5
13 to 20: 5
 1 to  5: 4
 4 to  9: 5
 2 to  5: 3
 7 to 18: 3
19 to 16: 4
 4 to  9: 5
11 to  9: 3
12 to  3: 3
11 to  2: 4
 6 to 11: 2
 9 to  2: 3
19 to  6: 3
15 to 20: 5
 2 to 11: 4
11 to  1: 5
10 to 16: 1
17 to 20: 4
16 to  8: 2
 2 to 14: 1
 7 to  5: 2
 2 to 10: 2
 2 to  3: 4
15 to 11: 4
16 to 13: 5
 8 to 14: 1
13 to  7: 5
 3 to 15: 4
 3 to  5: 1
 6 to  3: 2
 2 to  8: 2
16 to  3: 4
 3 to 18: 2
17 to  6: 2
 5 to 19: 2
 1 to  5: 4
17 to  7: 3
 6 to 10: 3
 3 to  2: 4
 3 to  5: 1

Test Set #6
 4 to  6: 4
 8 to  4: 4
15 to 18: 2
 3 to  9: 3
13 to 14: 2
 5 to 16: 3
13 to  7: 2
 6 to  9: 2
 1 to 19: 3
 9 to 13: 4
 5 to 14: 4
 7 to  2: 3
 5 to 14: 4
 4 to 15: 4
11 to 13: 3
15 to  4: 4
14 to 13: 2
 5 to  8: 3

Test Set #7
 3 to 20: 2
20 to 12: 3
 9 to 17: 2
 8 to 16: 3
 7 to  6: 2
11 to 10: 2
 9 to 13: 3
 6 to 14: 2
17 to  5: 4
 7 to  8: 3
18 to  3: 2
 6 to 11: 2
10 to 16: 4
18 to 17: 2
12 to  1: 3
18 to  1: 1
13 to 19: 1
 9 to 11: 2
 4 to  5: 4

Test Set #8
14 to  5: 1
13 to 17: 4
 7 to 17: 5
13 to  9: 4
10 to  4: 2
 8 to 20: 4
 3 to 18: 2
15 to 19: 1
19 to  6: 3
13 to  7: 5
 4 to 14: 4
18 to  6: 3
 6 to 17: 4
14 to  3: 1
 1 to 15: 4
 9 to  1: 3
12 to 16: 3
12 to  6: 3
13 to 19: 1
13 to  4: 4
 2 to 12: 3
10 to 11: 2
18 to  4: 3
12 to 16: 3
12 to 16: 3
 5 to  1: 2
10 to  1: 3
14 to 10: 2
19 to  2: 1
14 to  4: 4
 2 to  7: 5
14 to  8: 3
14 to 20: 5
16 to  3: 5
 2 to 13: 2
 2 to 15: 2
20 to 16: 1
 3 to 12: 2
15 to 11: 3
 3 to  4: 3
 1 to 15: 4
14 to 19: 3
18 to 19: 2
12 to  7: 4
 5 to 11: 5
 1 to 15: 4
14 to  7: 3
 4 to 14: 4
 1 to  8: 4
 8 to 20: 4
 5 to  7: 4
18 to  7: 4
14 to 11: 4
13 to  6: 4
10 to  9: 2
 9 to  6: 2
12 to 17: 3
 8 to 19: 2
17 to 12: 3
 3 to 15: 2
14 to 20: 5
13 to  1: 5
 2 to 12: 3
 4 to  6: 4
 7 to  5: 4
 1 to 14: 1
14 to  8: 3
 5 to 18: 4
19 to 16: 5
 9 to 17: 4
 6 to 10: 2
13 to  4: 4
14 to  3: 1
17 to 14: 4
12 to  7: 4
12 to 16: 3
12 to 20: 2
 6 to  5: 3
14 to 12: 3
15 to 10: 1
15 to 14: 3
 4 to  8: 3
 1 to  6: 3
 6 to  2: 4
12 to 20: 2
10 to 19: 1
10 to  4: 2
14 to  3: 1

Test Set #9
 5 to  3: 6
18 to  8: 3
17 to 19: 3
11 to 19: 1
 5 to 10: 4
17 to 19: 3
 1 to  9: 5
20 to 13: 6
 8 to  2: 3
 8 to 20: 6
17 to  9: 4
20 to  5: 6
 1 to 13: 5
 6 to 20: 6
16 to  1: 2
12 to  2: 1
 5 to 14: 1
 2 to 17: 2
 5 to  4: 3
20 to 13: 6
18 to  4: 2
13 to 20: 6
 2 to 16: 3
 3 to 20: 2
13 to  3: 6
 7 to  8: 4
 6 to 15: 4
16 to  4: 2
12 to  3: 5
10 to 15: 1
18 to 15: 2
13 to  4: 3
 6 to  3: 6
13 to  6: 6
 2 to 14: 3
 2 to 17: 2
 3 to 19: 1
17 to 16: 1
20 to 10: 4
 8 to 12: 2
 3 to 13: 6
 1 to 13: 5
14 to 15: 3
15 to  1: 3
 5 to  4: 3
20 to 10: 4
 4 to 13: 3
10 to 20: 4
 6 to  2: 4
 8 to  3: 6
 4 to  5: 3
 3 to  2: 4
16 to 17: 1
 7 to  8: 4
16 to 11: 3

Test Set #10
15 to 11: 4
14 to  6: 6
12 to 15: 5
17 to  3: 2
 7 to 14: 3
 7 to  1: 1
 5 to 18: 2
 7 to 19: 3
11 to 15: 4
14 to  4: 5
14 to 12: 4
 3 to 17: 2
 9 to  1: 3
 4 to  1: 3
16 to  8: 3
 3 to 16: 3
 3 to 14: 3
19 to  7: 3
 3 to 15: 2
 1 to 17: 3
13 to 16: 3
20 to 19: 7
 4 to  6: 1
17 to 13: 2
16 to  4: 3
 8 to  5: 3
17 to 10: 3
 5 to 16: 2
15 to  7: 4
20 to 15: 8
17 to 12: 3
12 to  7: 1
 9 to 19: 5
13 to 19: 3
16 to 10: 4
20 to 16: 5
13 to 14: 3
 2 to 11: 3
20 to  1: 5
14 to 17: 3
 4 to  1: 3
19 to  5: 4
 2 to 14: 4
15 to  5: 5
17 to 10: 3
20 to  2: 7
11 to  6: 5
20 to 11: 6
20 to  6: 1
 3 to 13: 2
18 to  2: 2
 8 to  6: 5
18 to 20: 5
20 to 17: 6
 1 to  7: 1
19 to 17: 3
10 to  9: 5
 5 to  4: 3
11 to 12: 3
10 to 20: 7
20 to  5: 5

Test Set #11
 8 to  2: 2
14 to 13: 4
11 to 18: 3
14 to  5: 5
 3 to 11: 1
 7 to 11: 2
14 to 11: 3
20 to 15: 3
18 to 19: 4
 1 to  3: 4
20 to  2: 5
 6 to 16: 3
17 to 14: 3
 8 to 17: 4
11 to 15: 2
14 to  7: 3
 7 to 16: 2
20 to 13: 4
18 to  1: 4
 4 to  8: 3
10 to 14: 2
 8 to 20: 5
17 to  3: 3
 6 to  8: 5
11 to 18: 3
12 to  7: 2
 2 to 20: 5
12 to  3: 3
11 to 15: 2
17 to 12: 6
 7 to  6: 1
10 to 13: 4
 9 to 15: 2
20 to 12: 1
 1 to 16: 5
13 to 20: 4
19 to 11: 1
 9 to 14: 3
16 to 10: 5

Test Set #12
 4 to  3: 2
19 to 12: 3
16 to 13: 3
17 to 14: 4
18 to 15: 3
17 to 19: 3
11 to 14: 2
 9 to  6: 1
 3 to  2: 1
17 to 19: 3
 9 to  6: 1
 1 to  2: 1
20 to  4: 2
 7 to  9: 1
18 to 14: 3
14 to  9: 2
11 to 13: 2
16 to 14: 4
